County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Duration_Days
SAN BERNARDINO,SHEEP,2009-10-03,2009-10-10,"7,128",0,0,8 days,,,8
HUMBOLDT,MILL CREEK #4,2009-10-07,2009-10-17,"3,800",0,0,11 days,,,11
SANTA CRUZ,Loma,2009-10-25,2009-10-27,485,0,0,3 days,,,3
SAN LUIS OBISPO,Hernrick VMP,2009-11-14,2009-11-14,600,0,0,1 days,,,1
GLENN,DOE,2009-11-28,2009-11-29,550,0,0,2 days,,,2
TUOLUMNE,SLOPE,2010-01-23,2010-08-23,"1,711",0,0,213 days,0.0,0.0,213
RIVERSIDE,PEDLEY,2010-05-12,2010-05-13,850,0,0,2 days,0.0,0.0,2
KERN,METZEN,2010-05-15,2010-05-15,360,0,0,1 days,1.0,0.0,1
SAN LUIS OBISPO,COTTON,2010-05-15,2010-05-17,"2,044",0,0,3 days,0.0,0.0,3
RIVERSIDE,MCKINLEY,2010-05-20,2010-05-22,"1,000",0,0,3 days,0.0,0.0,3
TULARE,BALE,2010-06-04,2010-06-04,485,0,0,1 days,0.0,0.0,1
MERCED,CHILDS,2010-06-05,2010-06-05,462,0,0,1 days,0.0,0.0,1
FRESNO,WHITES,2010-06-07,2010-06-07,350,0,0,1 days,0.0,0.0,1
STANISLAUS,STUHR,2010-06-08,2010-06-10,586,0,0,3 days,0.0,0.0,3
MERCED,ROBINSON,2010-06-11,2010-06-12,"1,600",0,0,2 days,0.0,0.0,2
ALAMEDA,DIABLO,2010-06-18,2010-06-19,475,0,0,2 days,1.0,0.0,2
BUTTE,PALERMO,2010-07-04,2010-07-05,900,0,0,2 days,0.0,0.0,2
SANTA BARBARA,166,2010-07-12,2010-07-12,350,0,0,1 days,1.0,0.0,1
SAN DIEGO,ALISO,2010-07-13,2010-07-15,"3,225",0,0,3 days,0.0,0.0,3
RIVERSIDE,SKINNER,2010-07-15,2010-07-18,503,0,0,4 days,0.0,0.0,4
RIVERSIDE,CACTUS,2010-07-15,2010-07-18,720,0,0,4 days,1.0,0.0,4
KERN,BODFISH,2010-07-15,2010-07-18,552,0,0,4 days,0.0,0.0,4
KERN,SAND 2,2010-07-16,2010-07-22,"1,254",0,0,7 days,0.0,0.0,7
FRESNO,SHEEP,2010-07-16,2010-10-25,"9,020",0,0,102 days,0.0,0.0,102
KERN,INDIAN,2010-07-18,2010-07-24,"1,822",0,0,7 days,0.0,0.0,7
MONO,PATATO,2010-07-24,2010-07-27,686,0,0,4 days,0.0,0.0,4
MONO,MONO,2010-07-26,2010-07-29,"1,205",0,0,4 days,0.0,0.0,4
KERN,BULL,2010-07-26,2010-08-10,"16,442",0,0,16 days,14.0,0.0,16
KERN,WEST,2010-07-27,2010-08-06,"1,658",0,0,11 days,50.0,13.0,11
LASSEN,MCDONALD,2010-07-27,2010-08-10,"9,408",0,0,15 days,0.0,0.0,15
LOS ANGELES,BRIGGS,2010-07-29,2010-07-30,510,0,0,2 days,0.0,0.0,2
LOS ANGELES,CROWN,2010-07-29,2010-08-03,"14,000",0,0,6 days,10.0,6.0,6
SISKIYOU,DUTCH,2010-07-31,2010-08-04,371,0,0,5 days,0.0,0.0,5
PLUMAS,BAR,2010-07-31,2010-08-10,"1,040",0,0,11 days,0.0,0.0,11
MADERA,BUCKHORN,2010-08-07,2010-10-30,466,0,0,85 days,0.0,0.0,85
TUOLUMNE,VERNON,2010-08-08,2010-10-31,909,0,0,85 days,0.0,0.0,85
TUOLUMNE,PINECREST,2010-08-09,2010-10-15,799,0,0,68 days,0.0,0.0,68
TULARE,STOKES 2,2010-08-17,2010-08-18,879,0,0,2 days,0.0,0.0,2
PLACER,BASELINE,2010-08-20,2010-08-21,434,0,0,2 days,0.0,0.0,2
SAN LUIS OBISPO,POZO,2010-08-21,2010-08-22,"1,200",0,0,2 days,0.0,0.0,2
SAN DIEGO,MONTE,2010-08-21,2010-08-23,"2,000",0,0,3 days,0.0,0.0,3
LAKE,INDIAN,2010-08-24,2010-08-26,450,0,0,3 days,0.0,0.0,3
KERN,POST,2010-08-25,2010-08-28,"1,312",0,0,4 days,0.0,0.0,4
YUBA,BULLARD,2010-08-27,2010-08-31,"1,307",0,0,5 days,0.0,0.0,5
NEVADA,BULLARDS,2010-08-27,2010-09-13,"1,500",0,0,18 days,0.0,0.0,18
SAN DIEGO,COWBOY,2010-09-02,2010-09-07,827,0,0,6 days,0.0,0.0,6
KERN,CANYON,2010-09-12,2010-09-19,"9,820",0,0,8 days,1.0,0.0,8
SANTA BARBARA,BEAR CREEK,2010-10-28,2010-10-30,"1,253",0,0,3 days,0.0,0.0,3
INYO,WINTERTON,2011-03-09,2011-03-09,395,0,0,1 days,0.0,0.0,1
INYO,CENTER,2011-03-18,2011-03-23,850,0,0,6 days,19.0,0.0,6
MONTEREY,METZ,2011-05-12,2011-05-14,832,0,0,3 days,0.0,0.0,3
KERN,COVE,2011-05-27,2011-06-02,"1,122",0,0,7 days,0.0,0.0,7
MONTEREY,CATTLEMAN,2011-05-29,2011-05-30,382,0,0,2 days,0.0,0.0,2
MODOC,COUGAR,2011-06-08,2011-06-13,"1,800",0,0,6 days,0.0,0.0,6
KERN,IKEA,2011-06-12,2011-06-12,640,0,0,1 days,0.0,0.0,1
KERN,ANTELOPE,2011-06-19,2011-06-21,"5,200",0,0,3 days,2.0,0.0,3
KERN,QUINN,2011-06-21,2011-06-22,"3,154",0,0,2 days,0.0,0.0,2
STANISLAUS,EASTMAN,2011-06-24,2011-06-24,330,0,0,1 days,0.0,0.0,1
SAN LUIS OBISPO,HIGHWAY,2011-06-24,2011-06-24,387,0,0,1 days,0.0,0.0,1
MERCED,REST,2011-06-26,2011-06-27,575,0,0,2 days,0.0,0.0,2
TULARE,STAGE,2011-06-27,2011-07-02,"1,213",0,0,6 days,0.0,0.0,6
HUMBOLDT,SPANISH,2011-07-01,2011-07-04,498,0,0,4 days,0.0,0.0,4
SAN JOAQUIN,CHRISMAN,2011-07-05,2011-07-06,400,0,0,2 days,0.0,0.0,2
ORANGE,"CARBON
CANYON",2011-07-07,2011-07-08,508,0,0,2 days,0.0,0.0,2
TULARE,LION,2011-07-08,2011-11-08,"20,500",0,0,124 days,0.0,0.0,124
YUBA,KRISTA,2011-07-09,2011-07-10,360,0,0,2 days,0.0,0.0,2
TULARE,GRANITE,2011-07-09,2011-07-12,780,0,0,4 days,7.0,0.0,4
ALAMEDA,FLYNN,2011-07-14,2011-07-14,500,0,0,1 days,0.0,0.0,1
MODOC,MAMMOTH,2011-07-15,2011-09-05,"1,194",0,0,53 days,0.0,0.0,53
MODOC,"SCORPION
COMPLEX",2011-07-15,2011-09-05,"1,418",0,0,53 days,0.0,0.0,53
ALAMEDA,FLYNN,2011-07-21,2011-07-22,545,0,0,2 days,0.0,0.0,2
SAN DIEGO,EAGLE,2011-07-21,2011-07-29,"14,100",0,0,9 days,0.0,0.0,9
MERCED,ROMERO,2011-07-23,2011-07-23,489,0,0,1 days,0.0,0.0,1
MARIPOSA,AVALANCHE,2011-07-31,2011-10-01,"1,069",0,0,63 days,0.0,0.0,63
MENDOCINO,PASS,2011-08-03,2011-08-07,616,0,0,5 days,0.0,0.0,5
RIVERSIDE,GILMAN,2011-08-06,2011-08-07,945,0,0,2 days,0.0,0.0,2
NAPA,KNOXVILLE,2011-08-13,2011-08-15,506,0,0,3 days,0.0,0.0,3
MODOC,ANNIE,2011-08-18,2011-09-16,"2,076",0,0,30 days,0.0,0.0,30
SISKIYOU,ONION,2011-08-19,2011-10-11,560,0,0,54 days,0.0,0.0,54
SAN BERNARDINO,KEN,2011-08-22,2011-08-30,350,0,0,9 days,1.0,0.0,9
