County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
Stanislaus,EASTMAN,2011-06-24,2011-06-24,330,0,0,1,0,0
San Luis Obispo,HIGHWAY,2011-06-24,2011-06-24,387,0,0,1,0,0
Merced,REST,2011-06-26,2011-06-27,575,0,0,2,0,0
Tulare,STAGE,2011-06-27,2011-07-02,1213,0,0,6,0,0
Humboldt,SPANISH,2011-07-01,2011-07-04,498,0,0,4,0,0
San Joaquin,CHRISMAN,2011-07-05,2011-07-06,400,0,0,2,0,0
Orange,"CARBON
CANYON",2011-07-07,2011-07-08,508,0,0,2,0,0
Tulare,LION,2011-07-08,2011-11-08,20500,0,0,124,0,0
Yuba,KRISTA,2011-07-09,2011-07-10,360,0,0,2,0,0
Tulare,GRANITE,2011-07-09,2011-07-12,780,0,0,4,7,0
Alameda,FLYNN,2011-07-14,2011-07-14,500,0,0,1,0,0
Modoc,MAMMOTH,2011-07-15,2011-09-05,1194,0,0,53,0,0
Modoc,"SCORPION
COMPLEX",2011-07-15,2011-09-05,1418,0,0,53,0,0
Alameda,FLYNN,2011-07-21,2011-07-22,545,0,0,2,0,0
San Diego,EAGLE,2011-07-21,2011-07-29,14100,0,0,9,0,0
Merced,ROMERO,2011-07-23,2011-07-23,489,0,0,1,0,0
Mariposa,AVALANCHE,2011-07-31,2011-10-01,1069,0,0,63,0,0
Mendocino,PASS,2011-08-03,2011-08-07,616,0,0,5,0,0
Riverside,GILMAN,2011-08-06,2011-08-07,945,0,0,2,0,0
Napa,KNOXVILLE,2011-08-13,2011-08-15,506,0,0,3,0,0
Modoc,ANNIE,2011-08-18,2011-09-16,2076,0,0,30,0,0
Siskiyou,ONION,2011-08-19,2011-10-11,560,0,0,54,0,0
San Bernardino,KEN,2011-08-22,2011-08-30,350,0,0,9,1,0
Mariposa,MOTOR,2011-08-25,2011-10-01,5230,0,0,38,0,0
Los Angeles,OASIS,2011-08-27,2011-08-29,375,0,0,3,0,0
Solano,BEACON,2011-08-27,2011-08-30,715,0,0,4,0,0
San Bernardino,WELLS,2011-08-28,2011-08-30,1784,0,0,3,0,0
Riverside,KELLER,2011-08-29,2011-08-31,450,0,0,3,0,0
San Bernardino,HILL,2011-09-02,2011-09-08,1153,0,0,7,3,2
San Luis Obispo,SODA,2011-09-03,2011-09-04,1528,0,0,2,1,0
Santa Barbara,FIGUEROA,2011-09-03,2011-09-12,698,0,0,10,0,0
Tulare,ROADRUNNER,2011-09-04,2011-09-05,335,0,0,2,0,0
Kern,CANYON,2011-09-04,2011-09-11,14585,0,0,8,100,0
Tulare,WILLOWS,2011-09-04,2011-09-12,310,0,0,9,0,0
Los Angeles,"WAGON
WHEEL",2011-09-05,2011-09-08,500,0,0,4,8,0
San Joaquin,MILTON,2011-09-09,2011-09-11,1122,0,0,3,0,0
Kern,"KEENE
COMPLEX",2011-09-10,2011-09-14,10470,0,0,5,0,0
Kern,"COMANCHE
COMPLEX",2011-09-10,2011-09-17,29338,0,0,8,0,0
Kern,"BRECKENRIDGE
COMPLEX",2011-09-10,2011-09-17,25213,0,0,8,0,0
Tulare,TENNESSEE,2011-09-11,2011-09-12,380,0,0,2,0,0
El Dorado,LONG,2011-09-12,2011-11-11,483,0,0,61,0,0
Inyo,JOHN,2011-09-13,2011-09-16,5300,0,0,4,0,0
Mariposa,TAMARACK,2011-09-13,2011-10-17,1015,0,0,35,0,0
Tuolumne,BURST COMPLEX,2011-09-15,2011-09-15,508,0,0,1,0,0
Los Angeles,MINT,2011-09-17,2011-09-30,634,0,0,14,0,0
Tulare,"TUU SEPT
LIGHTNING",2011-09-23,2011-09-24,350,0,0,2,0,0
Kern,OLD FIRE,2011-09-23,2011-09-24,410,0,0,2,0,0
Kern,65 FIRE,2011-09-23,2011-09-24,2005,0,0,2,0,0
Trinity,RUTH,2011-09-23,2011-11-15,1460,0,0,54,31,0
Riverside,WINDY POINT,2011-09-25,2011-10-03,541,0,0,9,0,0
San Diego,GREAT,2011-10-01,2011-10-07,2135,0,0,7,0,0
Calaveras,BLUE,2011-12-01,2011-12-06,698,0,0,6,0,0
El Dorado,SALT,2011-12-01,2012-01-04,342,0,0,35,0,0
Mariposa,RIVER,2012-05-18,2012-05-22,320,0,0,5,0,0
San Diego,BANNER 4,2012-05-24,2012-05-29,5320,0,0,6,0,0
Merced,BILLY,2012-05-31,2012-05-31,434,0,0,1,0,0
