County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Duration_Days
Sonoma,POCKET 2 (CENTRAL LNU COMPLEX),10/9/2017,10/31/2017,17357,6,2,0,0,23 days,23
Santa Cruz,BEAR,10/16/2017,10/29/2017,391,6,0,0,0,14 days,14
San Diego,BUFFALO,10/17/2017,10/19/2017,1088,0,0,0,0,3 days,3
Riverside,WILDOMAR,10/26/2017,11/1/2017,866,0,0,0,0,7 days,7
Mono,CHRIS,11/13/2017,11/16/2017,370,0,0,0,0,4 days,4
Los Angeles,RYE,12/5/2017,12/15/2017,6049,6,3,0,0,11 days,11
Los Angeles,CREEK,12/5/2017,12/29/2017,15619,123,81,0,0,25 days,25
Los Angeles,SKIRBALL,12/6/2017,12/17/2017,422,9,13,0,0,12 days,12
Riverside,LIBERTY,12/7/2017,12/9/2017,300,3,1,0,0,3 days,3
San Diego,LILAC 5,12/7/2017,12/16/2017,4088,157,64,0,0,10 days,10
Inyo,PLEASANT,2/18/2018,2/25/2018,2070,0,0,0,0,8 days,8
Inyo,MOFFAT,4/19/2018,4/24/2018,1065,0,0,0,0,6 days,6
Merced,NEES,5/2/2018,5/2/2018,1756,0,0,0,0,1 days,1
San Diego,ALPHA,5/4/2018,5/5/2018,300,0,0,0,0,2 days,2
Riverside,PATTERSON,5/17/2018,5/18/2018,1261,0,0,0,0,2 days,2
Madera,CANAL,5/19/2018,5/20/2018,300,0,0,0,0,2 days,2
Madera,O'NEALS,6/4/2018,6/7/2018,300,0,0,0,0,4 days,4
Los Angeles,STONE,6/4/2018,6/8/2018,1352,0,0,0,0,5 days,5
San Benito,AIRLINE 2,6/4/2018,6/12/2018,1314,0,0,0,0,9 days,9
San Benito,EASTERN 2,6/4/2018,6/12/2018,513,0,0,0,0,9 days,9
Tehama,APPLE,6/9/2018,6/12/2018,2956,9,3,0,0,4 days,4
Glenn,CHROME,6/9/2018,6/22/2018,2290,1,0,0,0,14 days,14
Madera,LIONS,6/11/2018,7/14/2018,12990,0,0,0,0,34 days,34
Lassen,TUMBLEWEED,6/14/2018,6/17/2018,646,0,0,0,0,4 days,4
Merced,PLANADA,6/15/2018,6/19/2018,4563,0,0,0,0,5 days,5
San Luis Obispo,YANKEE,6/20/2018,6/22/2018,1500,0,0,0,0,3 days,3
Tehama,LANE,6/23/2018,7/4/2018,3392,0,0,0,0,12 days,12
Lake,PAWNEE,6/23/2018,7/8/2018,15180,22,6,0,0,16 days,16
Shasta,PANTHER,6/24/2018,6/26/2018,386,0,0,0,0,3 days,3
Butte,SHIPPEE,6/26/2018,6/27/2018,460,0,0,0,0,2 days,2
Lassen,HYATT,6/27/2018,6/29/2018,383,4,0,0,0,3 days,3
San Joaquin,WAVERLY,6/29/2018,7/12/2018,11789,1,0,0,0,14 days,14
Yolo,COUNTY,6/30/2018,7/14/2018,90000,29,4,0,0,15 days,15
El Dorado,SHINGLE,7/4/2018,7/5/2018,316,0,0,0,0,2 days,2
Siskiyou,KLAMATHON,7/5/2018,7/21/2018,38008,83,12,0,1,17 days,17
Amador,IRISH,7/6/2018,7/9/2018,825,1,1,0,0,4 days,4
San Diego,PENDLETON COMPLEX,7/6/2018,7/10/2018,1520,0,0,0,0,5 days,5
San Diego,WEST,7/6/2018,7/10/2018,505,48,14,0,0,5 days,5
San Bernardino,VALLEY,7/6/2018,7/12/2018,1350,0,0,0,0,7 days,7
Alameda,GRANT,7/8/2018,7/9/2018,480,1,0,0,0,2 days,2
Inyo,GEORGES,7/8/2018,7/23/2018,2941,0,0,0,0,16 days,16
Tehama,DALE,7/9/2018,7/9/2018,856,0,0,0,0,1 days,1
Butte,STONEY,7/12/2018,7/20/2018,1000,0,0,0,0,9 days,9
Modoc,EAGLE,7/13/2018,7/20/2018,2100,0,0,0,0,8 days,8
Mariposa,FERGUSON,7/13/2018,8/22/2018,96901,11,0,2,0,41 days,41
Yolo,EIGHTY EIGHT,7/18/2018,7/21/2018,822,0,0,0,0,4 days,4
Santa Clara,COUNTRY,7/22/2018,7/24/2018,320,0,0,0,0,3 days,3
Shasta,CARR,7/23/2018,9/1/2018,229651,0,279,3,4,41 days,41
Riverside,CRANSTON,7/25/2018,8/9/2018,13139,12,5,0,0,16 days,16
San Diego,PASQUAL,7/27/2018,7/31/2018,365,0,0,0,0,5 days,5
Lassen,WHALEBACK,7/27/2018,8/6/2018,18703,0,0,0,0,11 days,11
Sutter,BUTTE,7/31/2018,8/2/2018,1000,0,0,0,0,3 days,3
Mono,OWENS,7/31/2018,8/5/2018,338,0,0,0,0,6 days,6
Mono,HOTCREEK,7/31/2018,8/5/2018,419,0,0,0,0,6 days,6
Mendocino,EEL,7/31/2018,8/8/2018,972,10,0,0,0,9 days,9
Placer,SUNSET,8/1/2018,8/3/2018,695,0,0,0,0,3 days,3
Tuolumne,DONNELL,8/1/2018,10/31/2018,36450,135,0,0,0,92 days,92
Kern,TARINA,8/3/2018,8/5/2018,3516,0,0,0,0,3 days,3
Monterey,TURKEY,8/6/2018,8/7/2018,2225,0,0,0,0,2 days,2
Orange,HOLY,8/6/2018,9/14/2018,23025,24,18,0,0,40 days,40
Shasta,HAT,8/9/2018,8/23/2018,1900,0,0,0,0,15 days,15
Shasta,HIRZ,8/9/2018,9/12/2018,46051,0,0,0,0,35 days,35
Solano,NELSON,8/10/2018,8/14/2018,2162,1,1,0,0,5 days,5
Monterey,GULCH,8/11/2018,8/11/2018,700,0,0,0,0,1 days,1
Tulare,RIVER 7,8/15/2018,8/19/2018,496,0,0,0,0,5 days,5
Modoc,STONE,8/15/2018,9/1/2018,39387,2,0,0,0,18 days,18
Humboldt,MILL CREEK 1,8/16/2018,8/30/2018,3674,0,0,0,0,15 days,15
Kern,CALL,8/18/2018,8/21/2018,367,0,0,0,0,4 days,4
San Luis Obispo,FRONT,8/19/2018,8/29/2018,1014,0,0,0,0,11 days,11
Placer,NORTH,9/3/2018,9/16/2018,1120,0,0,0,0,14 days,14
Trinity,KERLIN,9/4/2018,9/17/2018,1751,5,0,0,0,14 days,14
Shasta,DELTA,9/5/2018,10/11/2018,63311,42,4,0,0,37 days,37
Tuolumne,TULLOCH,9/8/2018,9/10/2018,573,0,0,0,0,3 days,3
Napa,SNELL,9/8/2018,9/15/2018,2490,0,0,0,0,8 days,8
Monterey,METZ,9/13/2018,9/15/2018,411,0,0,0,0,3 days,3
Madera,OAK,9/22/2018,9/29/2018,360,0,0,0,0,8 days,8
Los Angeles,CHARLIE,9/22/2018,9/30/2018,3380,0,0,0,0,9 days,9
Monterey,NACIMIENTO,10/2/2018,10/3/2018,450,0,0,0,0,2 days,2
