County,Tot_Damage,Year,county_up
Mono,0.0,2019,MONO
Monterey,39951.0,2019,MONTEREY
Napa,31875.0,2019,NAPA
Nevada,329550.0,2019,NEVADA
Placer,133020.0,2019,PLACER
Plumas,1500.0,2019,PLUMAS
Riverside,496090.0,2019,RIVERSIDE
Sacramento,23000.0,2019,SACRAMENTO
San Benito,2570.0,2019,SAN BENITO
San Bernardino,158900.0,2019,SAN BERNARDINO
San Diego,371100.0,2019,SAN DIEGO
San Francisco,0.0,2019,SAN FRANCISCO
San Joaquin,18480.0,2019,SAN JOAQUIN
San Luis Obispo,4876280.0,2019,SAN LUIS OBISPO
San Mateo,100000.0,2019,SAN MATEO
Santa Clara,456275.0,2019,SANTA CLARA
Santa Cruz,16406.0,2019,SANTA CRUZ
Shasta,4686340.0,2019,SHASTA
Sierra,0.0,2019,SIERRA
Siskiyou,211500.0,2019,SISKIYOU
Solano,8601.0,2019,SOLANO
Sonoma,383902720.0,2019,SONOMA
Stanislaus,104284.0,2019,STANISLAUS
Sutter,0.0,2019,SUTTER
Tehama,1220000.0,2019,TEHAMA
Trinity,17300.0,2019,TRINITY
Tulare,362717.0,2019,TULARE
Tuolumne,145750.0,2019,TUOLUMNE
Yolo,4200.0,2019,YOLO
Yuba,503701.0,2019,YUBA
Butte,38209457.0,2020,BUTTE
Mendocino,1505832.0,2020,MENDOCINO
Santa Clara,2989562.0,2020,SANTA CLARA
Siskiyou,117483850.0,2020,SISKIYOU
Riverside,380024372.0,2020,RIVERSIDE
San Bernardino,1049225.0,2020,SAN BERNARDINO
San Diego,8066503.0,2020,SAN DIEGO
San Luis Obispo,577022.0,2020,SAN LUIS OBISPO
Tulare,1043373.0,2020,TULARE
Alameda,101020955.0,2020,ALAMEDA
Alpine,0.0,2020,ALPINE
Amador,19300.0,2020,AMADOR
Butte,8209457.0,2020,BUTTE
Calaveras,834351.0,2020,CALAVERAS
Colusa,140500.0,2020,COLUSA
Del Norte,0.0,2020,DEL NORTE
El Dorado,1090562.0,2020,EL DORADO
Fresno,380024372.0,2020,FRESNO
Glenn,4244900.0,2020,GLENN
Humboldt,944850.0,2020,HUMBOLDT
Imperial,0.0,2020,IMPERIAL
Inyo,4.0,2020,INYO
